Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,99.78,-77.73,0,top
C2,0.1uF,C_0402_1005Metric,97.04,-88.47,0,top
C3,0.1uF,C_0402_1005Metric,107.84,-88.27,180,top
C4,0.1uF,C_0402_1005Metric,97.47,-83.75,0,top
C5,0.1uF,C_0402_1005Metric,106.04,-82.27,-90,top
C6,0.1uF,C_0402_1005Metric,107.27,-83.77,180,top
C7,0.1uF,C_0402_1005Metric,104.29,-78.9,-90,top
C8,0.1uF,C_0402_1005Metric,104.07,-93.01,90,top
C9,0.1uF,C_0402_1005Metric,103.25,-79.39,-90,top
C10,1uF,C_0402_1005Metric,104.99,-82.11,-90,top
C11,0.1uF,C_0402_1005Metric,105.11,-93.02,90,top
C12,0.1uF,C_0402_1005Metric,102.22,-79.39,-90,top
C13,10uF,C_0402_1005Metric,99.46,-66.13,180,top
C14,10uF,C_0402_1005Metric,99.88,-71.91,180,top
C15,33pF,C_0402_1005Metric,98.76,-94.99,-90,top
C16,33pF,C_0402_1005Metric,104,-95,90,top
C17,0.1uF,C_0402_1005Metric,107.61,-82.14,45,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,102.26,-60.275,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,93.37,-59.145,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,111.15,-59.145,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,99.72,-107.165,90,top
R1,5.1K,R_0402_1005Metric,103.69,-66.62,-90,top
R2,5.1K,R_0402_1005Metric,101.02,-66.6,90,top
R3,27,R_0402_1005Metric,103.95,-81.86,-90,top
R4,27,R_0402_1005Metric,102.86,-81.86,90,top
R5,1K,R_0402_1005Metric,102.55,-92.57,180,top
R6,10K,R_0402_1005Metric,97.83,-77.74,180,top
R7,1K,R_0402_1005Metric,104.59,-75.21,180,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,105.1,-71.58,-90,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,102.26,-87.275,0,top
U3,W25Q128JVS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,98.955,-79.61,0,top
U4,MCP1700x-330xxTT,SOT-23,99.87,-69.34,90,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,101.38,-94.98,0,top
