Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",99.780000,-77.730000,0.000000,top
"C2","0.1uF","C_0402_1005Metric",97.040000,-88.470000,0.000000,top
"C3","0.1uF","C_0402_1005Metric",107.840000,-88.270000,180.000000,top
"C4","0.1uF","C_0402_1005Metric",97.470000,-83.750000,0.000000,top
"C5","0.1uF","C_0402_1005Metric",106.040000,-82.270000,-90.000000,top
"C6","0.1uF","C_0402_1005Metric",107.270000,-83.770000,180.000000,top
"C7","0.1uF","C_0402_1005Metric",104.290000,-78.900000,-90.000000,top
"C8","0.1uF","C_0402_1005Metric",104.070000,-93.010000,90.000000,top
"C9","0.1uF","C_0402_1005Metric",103.250000,-79.390000,-90.000000,top
"C10","1uF","C_0402_1005Metric",104.990000,-82.110000,-90.000000,top
"C11","0.1uF","C_0402_1005Metric",105.110000,-93.020000,90.000000,top
"C12","0.1uF","C_0402_1005Metric",102.220000,-79.390000,-90.000000,top
"C13","10uF","C_0402_1005Metric",99.460000,-66.130000,180.000000,top
"C14","10uF","C_0402_1005Metric",99.880000,-71.910000,180.000000,top
"C15","33pF","C_0402_1005Metric",98.760000,-94.990000,-90.000000,top
"C16","33pF","C_0402_1005Metric",104.000000,-95.000000,90.000000,top
"C17","0.1uF","C_0402_1005Metric",107.610000,-82.140000,45.000000,top
"C18","0.1uF","C_0402_1005Metric",102.300000,-104.400000,0.000000,top
"C19","2.2nf","C_0402_1005Metric",105.260000,-97.570000,180.000000,top
"C20","0.1uF","C_0402_1005Metric",106.500000,-79.630000,-90.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",102.260000,-60.275000,180.000000,top
"J2","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",93.370000,-59.145000,0.000000,top
"J3","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",111.150000,-59.145000,0.000000,top
"J4","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",99.720000,-107.165000,90.000000,top
"R1","5.1K","R_0402_1005Metric",103.690000,-66.620000,-90.000000,top
"R2","5.1K","R_0402_1005Metric",101.020000,-66.600000,90.000000,top
"R3","27","R_0402_1005Metric",103.950000,-81.860000,-90.000000,top
"R4","27","R_0402_1005Metric",102.860000,-81.860000,90.000000,top
"R5","1K","R_0402_1005Metric",102.550000,-92.570000,180.000000,top
"R6","10K","R_0402_1005Metric",97.830000,-77.740000,180.000000,top
"R7","1K","R_0402_1005Metric",104.590000,-75.210000,180.000000,top
"R8","4.7k","R_0402_1005Metric",98.570000,-97.620000,0.000000,top
"R9","4.7k","R_0402_1005Metric",103.210000,-97.570000,0.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",105.100000,-71.580000,-90.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",102.260000,-87.275000,0.000000,top
"U2","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm",102.270000,-100.940000,0.000000,top
"U3","W25Q128JVS","Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",98.955000,-79.610000,0.000000,top
"U4","MCP1700x-330xxTT","SOT-23",99.870000,-69.340000,90.000000,top
"Y1","12 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",101.380000,-94.980000,0.000000,top
